case_id,family_id,profile_id,session_scope_id,session_started_at,first_message_at,last_message_at,technical_duration_min,messages_total,user_messages,assistant_messages,average_message_length_chars,detected_category,detected_stage,primary_state,emotional_intensity,caregiver_capacity,response_mode,usefulness_score,applied_successfully,followup_needed,records_same_start_minute,timestamp_source
375f0f9e-6c34-45ce-a2de-3ab56ddc8398,dea6a23c-20c9-4a58-990f-b32aac6b1169,832dbc18-88d3-4472-a925-1e237f75dc87,session_dea6a23c_11,2026-05-31 21:00:00,2026-05-31 21:01:00,2026-05-31 21:10:00,9.0,10,5,5,72.5,apoyo_general,adaptive_intervention,emotional_dysregulation,0.696,0.419,llm_fallback,0.896,False,True,550,registro_operacional_suministrado
658de532-4e21-4291-aeb2-7dd81433cac9,dea6a23c-20c9-4a58-990f-b32aac6b1169,832dbc18-88d3-4472-a925-1e237f75dc87,session_dea6a23c_12,2026-05-31 21:00:00,2026-05-31 21:01:00,2026-05-31 21:10:00,9.0,10,5,5,71.1,sobrecarga_sensorial,case_learning,meltdown,0.934,0.232,llm_fallback,0.883,True,False,550,registro_operacional_suministrado
0e38c26d-db0d-40aa-9901-878032ee6f71,dea6a23c-20c9-4a58-990f-b32aac6b1169,832dbc18-88d3-4472-a925-1e237f75dc87,session_dea6a23c_13,2026-05-30 21:00:00,2026-05-30 21:01:00,2026-05-30 21:02:00,1.0,2,1,1,101.5,crisis_activa,closure_continuity,meltdown,0.944,0.392,llm_fallback,0.729,True,True,592,registro_operacional_suministrado
a00d76c3-6ada-430a-9d93-be02c8ee8b69,dea6a23c-20c9-4a58-990f-b32aac6b1169,832dbc18-88d3-4472-a925-1e237f75dc87,session_dea6a23c_14,2026-05-28 21:00:00,2026-05-28 21:01:00,2026-05-28 21:02:00,1.0,2,1,1,88.0,sobrecarga_cuidador,adaptive_intervention,burnout,0.911,0.298,llm_fallback,0.372,True,True,526,registro_operacional_suministrado
d1e0710c-7510-45ab-bbd4-58c90da9f8c5,dea6a23c-20c9-4a58-990f-b32aac6b1169,832dbc18-88d3-4472-a925-1e237f75dc87,session_dea6a23c_15,2026-05-30 21:00:00,2026-05-30 21:01:00,2026-05-30 21:04:00,3.0,4,2,2,79.75,crisis_activa,closure_continuity,emotional_dysregulation,0.855,0.573,reuse_response_memory,0.788,False,False,592,registro_operacional_suministrado
031c3401-453b-41c8-b540-6aad245dcc38,dea6a23c-20c9-4a58-990f-b32aac6b1169,832dbc18-88d3-4472-a925-1e237f75dc87,session_dea6a23c_16,2026-05-31 21:00:00,2026-05-31 21:01:00,2026-05-31 21:16:00,15.0,16,8,8,77.375,disfuncion_ejecutiva,closure_continuity,general_distress,0.465,0.274,llm_fallback,0.853,True,False,550,registro_operacional_suministrado
560366ab-a98c-432a-8073-8c111f763e01,dea6a23c-20c9-4a58-990f-b32aac6b1169,832dbc18-88d3-4472-a925-1e237f75dc87,session_dea6a23c_17,2026-05-30 21:00:00,2026-05-30 21:01:00,2026-05-30 21:16:00,15.0,16,8,8,72.6875,disfuncion_ejecutiva,closure_continuity,general_distress,0.57,0.443,system_response,0.598,True,False,592,registro_operacional_suministrado
0c5d1c5d-2851-4146-96e3-d530ecf0ea23,dea6a23c-20c9-4a58-990f-b32aac6b1169,832dbc18-88d3-4472-a925-1e237f75dc87,session_dea6a23c_18,2026-05-29 21:00:00,2026-05-29 21:01:00,2026-05-29 21:04:00,3.0,4,2,2,80.25,transicion_rigidez,adaptive_intervention,general_distress,0.637,0.559,system_response,0.511,False,True,514,registro_operacional_suministrado
c8c9079b-4eef-485d-9b16-5a797a27a174,dea6a23c-20c9-4a58-990f-b32aac6b1169,832dbc18-88d3-4472-a925-1e237f75dc87,session_dea6a23c_19,2026-05-31 21:00:00,2026-05-31 21:01:00,2026-05-31 21:12:00,11.0,12,6,6,72.0,transicion_rigidez,adaptive_intervention,shutdown,0.623,0.251,system_response,0.605,False,False,550,registro_operacional_suministrado
3963b1bf-3e95-424b-9e04-9687c785c66a,dea6a23c-20c9-4a58-990f-b32aac6b1169,832dbc18-88d3-4472-a925-1e237f75dc87,session_dea6a23c_20,2026-05-30 21:00:00,2026-05-30 21:01:00,2026-05-30 21:14:00,13.0,14,7,7,64.14285714285714,apoyo_general,reception_containment,general_distress,0.33,0.458,reuse_response_memory,0.881,True,False,592,registro_operacional_suministrado
895041d0-aec5-4d8e-bd02-9380921cb6f8,dea6a23c-20c9-4a58-990f-b32aac6b1169,832dbc18-88d3-4472-a925-1e237f75dc87,session_dea6a23c_21,2026-05-28 21:00:00,2026-05-28 21:01:00,2026-05-28 21:12:00,11.0,12,6,6,69.58333333333333,apoyo_general,reception_containment,general_distress,0.664,0.558,system_response,0.86,False,False,526,registro_operacional_suministrado
c11e4b5a-0dff-4f94-b51f-cce3914fc459,dea6a23c-20c9-4a58-990f-b32aac6b1169,832dbc18-88d3-4472-a925-1e237f75dc87,session_dea6a23c_22,2026-05-31 01:00:00,2026-05-31 01:01:00,2026-05-31 01:02:00,1.0,2,1,1,81.0,sobrecarga_sensorial,focus_clarification,sensory_overload,0.814,0.535,reuse_response_memory,0.547,False,True,70,registro_operacional_suministrado
f8ea9931-34a8-4f0f-af63-97204628ff65,dea6a23c-20c9-4a58-990f-b32aac6b1169,832dbc18-88d3-4472-a925-1e237f75dc87,session_dea6a23c_23,2026-05-31 21:00:00,2026-05-31 21:01:00,2026-05-31 21:14:00,13.0,14,7,7,75.21428571428571,sobrecarga_cuidador,case_learning,parental_fatigue,0.666,0.311,reuse_response_memory,0.303,True,True,550,registro_operacional_suministrado
6b92755c-1a88-4aa5-88b5-55ec116d22cf,e2c4fdcd-bec5-48f6-932b-5021069afc5e,a1c7813e-935f-4c91-864a-5f06296fe361,session_e2c4fdcd_01,2026-05-05 17:08:00,2026-05-05 17:09:00,2026-05-05 17:22:00,13.0,14,7,7,72.42857142857143,disfuncion_ejecutiva,focus_clarification,general_distress,0.684,0.709,reuse_response_memory,0.82,True,True,1,registro_operacional_suministrado
b0189eeb-bbf3-43a2-a621-7c3c3bb098e1,e2c4fdcd-bec5-48f6-932b-5021069afc5e,a1c7813e-935f-4c91-864a-5f06296fe361,session_e2c4fdcd_02,2026-05-07 23:08:00,2026-05-07 23:09:00,2026-05-07 23:10:00,1.0,2,1,1,77.0,transicion_rigidez,case_learning,general_distress,0.614,0.736,llm_fallback,0.606,True,True,1,registro_operacional_suministrado
c33d000e-dd8c-4898-90c0-f696b8f79a0e,e2c4fdcd-bec5-48f6-932b-5021069afc5e,a1c7813e-935f-4c91-864a-5f06296fe361,session_e2c4fdcd_03,2026-05-12 05:08:00,2026-05-12 05:09:00,2026-05-12 05:12:00,3.0,4,2,2,74.0,sobrecarga_sensorial,focus_clarification,sensory_overload,0.661,0.496,reuse_response_memory,0.712,False,False,1,registro_operacional_suministrado
2a386daf-ba2c-4cc4-8703-139b8b571760,e2c4fdcd-bec5-48f6-932b-5021069afc5e,a1c7813e-935f-4c91-864a-5f06296fe361,session_e2c4fdcd_04,2026-05-17 07:08:00,2026-05-17 07:09:00,2026-05-17 07:18:00,9.0,10,5,5,69.5,sobrecarga_sensorial,adaptive_intervention,sensory_overload,0.607,0.362,reuse_response_memory,0.584,True,False,1,registro_operacional_suministrado
c2840cf6-d949-4f34-8df0-4f41f0837f6b,e2c4fdcd-bec5-48f6-932b-5021069afc5e,a1c7813e-935f-4c91-864a-5f06296fe361,session_e2c4fdcd_05,2026-05-19 09:08:00,2026-05-19 09:09:00,2026-05-19 09:10:00,1.0,2,1,1,104.0,sobrecarga_cuidador,adaptive_intervention,parental_fatigue,0.57,0.278,llm_fallback,0.334,True,False,1,registro_operacional_suministrado
0a854a9b-b148-46bc-a67b-313e915c0548,e2c4fdcd-bec5-48f6-932b-5021069afc5e,a1c7813e-935f-4c91-864a-5f06296fe361,session_e2c4fdcd_06,2026-05-22 09:16:00,2026-05-22 09:17:00,2026-05-22 09:30:00,13.0,14,7,7,75.85714285714286,sobrecarga_cuidador,closure_continuity,burnout,0.754,0.308,system_response,0.77,True,False,2,registro_operacional_suministrado
54ec6274-66da-4b17-b4f3-8f5d7a01d1cd,e2c4fdcd-bec5-48f6-932b-5021069afc5e,a1c7813e-935f-4c91-864a-5f06296fe361,session_e2c4fdcd_07,2026-05-26 15:16:00,2026-05-26 15:17:00,2026-05-26 15:18:00,1.0,2,1,1,83.5,apoyo_general,focus_clarification,general_distress,0.551,0.6,system_response,0.807,False,False,1,registro_operacional_suministrado
15e9d839-00f2-4b11-a40e-a3e07838a6cd,e2c4fdcd-bec5-48f6-932b-5021069afc5e,a1c7813e-935f-4c91-864a-5f06296fe361,session_e2c4fdcd_08,2026-05-28 20:16:00,2026-05-28 20:17:00,2026-05-28 20:20:00,3.0,4,2,2,74.0,sueno_regulacion,adaptive_intervention,general_distress,0.305,0.59,reuse_response_memory,0.853,False,False,1,registro_operacional_suministrado
d2716d6f-cdb0-4b49-855a-17cd5ca4d17d,e2c4fdcd-bec5-48f6-932b-5021069afc5e,a1c7813e-935f-4c91-864a-5f06296fe361,session_e2c4fdcd_09,2026-05-30 00:16:00,2026-05-30 00:17:00,2026-05-30 00:30:00,13.0,14,7,7,72.64285714285714,crisis_activa,focus_clarification,shutdown,0.765,0.145,llm_fallback,0.81,False,True,2,registro_operacional_suministrado
6a4613ad-6a24-4b5f-98d3-abaf2428f5d7,e2c4fdcd-bec5-48f6-932b-5021069afc5e,a1c7813e-935f-4c91-864a-5f06296fe361,session_e2c4fdcd_10,2026-05-28 21:00:00,2026-05-28 21:01:00,2026-05-28 21:02:00,1.0,2,1,1,74.5,sueno_regulacion,adaptive_intervention,sleep_disruption,0.723,0.71,system_response,0.863,True,False,526,registro_operacional_suministrado
b048d571-2b8c-4b2f-9e40-3f85d197a260,e2c4fdcd-bec5-48f6-932b-5021069afc5e,a1c7813e-935f-4c91-864a-5f06296fe361,session_e2c4fdcd_11,2026-05-29 21:00:00,2026-05-29 21:01:00,2026-05-29 21:12:00,11.0,12,6,6,70.58333333333333,apoyo_general,reception_containment,emotional_dysregulation,0.832,0.467,system_response,0.598,False,False,514,registro_operacional_suministrado
c698e06f-df86-4161-8be2-a41bcd7b1381,e2c4fdcd-bec5-48f6-932b-5021069afc5e,a1c7813e-935f-4c91-864a-5f06296fe361,session_e2c4fdcd_12,2026-05-28 21:00:00,2026-05-28 21:01:00,2026-05-28 21:16:00,15.0,16,8,8,73.375,sobrecarga_cuidador,focus_clarification,general_distress,0.429,0.616,system_response,0.81,True,False,526,registro_operacional_suministrado
9b601b1d-f481-4ed2-94bb-cabbcf03f69c,e2c4fdcd-bec5-48f6-932b-5021069afc5e,a1c7813e-935f-4c91-864a-5f06296fe361,session_e2c4fdcd_13,2026-05-28 21:00:00,2026-05-28 21:01:00,2026-05-28 21:02:00,1.0,2,1,1,100.5,apoyo_general,focus_clarification,executive_dysfunction,0.449,0.456,llm_fallback,0.928,True,False,526,registro_operacional_suministrado
16a33fcf-90cb-4dda-bc17-c5d630b8f9a6,e2c4fdcd-bec5-48f6-932b-5021069afc5e,a1c7813e-935f-4c91-864a-5f06296fe361,session_e2c4fdcd_14,2026-05-31 03:00:00,2026-05-31 03:01:00,2026-05-31 03:04:00,3.0,4,2,2,80.5,sobrecarga_cuidador,closure_continuity,burnout,0.89,0.139,reuse_response_memory,0.181,True,False,79,registro_operacional_suministrado
dbc6d0fe-b6da-4330-a0b8-99638fe0881d,e2c4fdcd-bec5-48f6-932b-5021069afc5e,a1c7813e-935f-4c91-864a-5f06296fe361,session_e2c4fdcd_15,2026-05-29 21:00:00,2026-05-29 21:01:00,2026-05-29 21:04:00,3.0,4,2,2,75.25,sueno_regulacion,case_learning,general_distress,0.479,0.446,system_response,0.899,True,False,514,registro_operacional_suministrado
2ab62516-d335-4b30-b995-a0955a7efcb3,e2c4fdcd-bec5-48f6-932b-5021069afc5e,a1c7813e-935f-4c91-864a-5f06296fe361,session_e2c4fdcd_16,2026-05-30 21:00:00,2026-05-30 21:01:00,2026-05-30 21:10:00,9.0,10,5,5,75.4,disfuncion_ejecutiva,focus_clarification,executive_dysfunction,0.708,0.694,llm_fallback,0.9,True,False,592,registro_operacional_suministrado
a5300605-f095-45c2-8ab9-5e260b0b43a6,e2c4fdcd-bec5-48f6-932b-5021069afc5e,a1c7813e-935f-4c91-864a-5f06296fe361,session_e2c4fdcd_17,2026-05-30 21:00:00,2026-05-30 21:01:00,2026-05-30 21:04:00,3.0,4,2,2,76.5,apoyo_general,adaptive_intervention,executive_dysfunction,0.43,0.636,llm_fallback,0.537,True,True,592,registro_operacional_suministrado
68fb572d-0e12-437c-a89d-2fe5be24c438,e2c4fdcd-bec5-48f6-932b-5021069afc5e,a1c7813e-935f-4c91-864a-5f06296fe361,session_e2c4fdcd_18,2026-05-27 21:00:00,2026-05-27 21:01:00,2026-05-27 21:04:00,3.0,4,2,2,71.75,crisis_activa,focus_clarification,meltdown,0.859,0.143,llm_fallback,0.877,True,True,473,registro_operacional_suministrado
7f2d21fd-3272-4a39-b311-a3b981312b70,e2c4fdcd-bec5-48f6-932b-5021069afc5e,a1c7813e-935f-4c91-864a-5f06296fe361,session_e2c4fdcd_19,2026-05-31 03:00:00,2026-05-31 03:01:00,2026-05-31 03:04:00,3.0,4,2,2,77.0,sobrecarga_sensorial,focus_clarification,sensory_overload,0.623,0.321,reuse_response_memory,0.791,True,False,79,registro_operacional_suministrado
4eb36342-d49f-4b47-aac7-5f5625dced6e,e2c4fdcd-bec5-48f6-932b-5021069afc5e,a1c7813e-935f-4c91-864a-5f06296fe361,session_e2c4fdcd_20,2026-05-28 21:00:00,2026-05-28 21:01:00,2026-05-28 21:02:00,1.0,2,1,1,77.5,apoyo_general,focus_clarification,emotional_dysregulation,0.607,0.456,llm_fallback,0.743,True,False,526,registro_operacional_suministrado
16ccdc3f-a375-4b7e-b388-718659c2ef0e,e2c4fdcd-bec5-48f6-932b-5021069afc5e,a1c7813e-935f-4c91-864a-5f06296fe361,session_e2c4fdcd_21,2026-05-31 01:00:00,2026-05-31 01:01:00,2026-05-31 01:12:00,11.0,12,6,6,71.0,crisis_activa,reception_containment,meltdown,0.815,0.38,reuse_response_memory,0.757,True,True,70,registro_operacional_suministrado
83f3fedb-fff1-4fde-ab38-1878e3614545,e2c4fdcd-bec5-48f6-932b-5021069afc5e,a1c7813e-935f-4c91-864a-5f06296fe361,session_e2c4fdcd_22,2026-05-29 21:00:00,2026-05-29 21:01:00,2026-05-29 21:02:00,1.0,2,1,1,82.0,sueno_regulacion,closure_continuity,general_distress,0.488,0.421,reuse_response_memory,0.738,True,False,514,registro_operacional_suministrado
5518e130-8e05-4dc0-8191-e176f93ad567,e2c4fdcd-bec5-48f6-932b-5021069afc5e,a1c7813e-935f-4c91-864a-5f06296fe361,session_e2c4fdcd_23,2026-05-31 00:00:00,2026-05-31 00:01:00,2026-05-31 00:14:00,13.0,14,7,7,71.21428571428571,sueno_regulacion,reception_containment,sleep_disruption,0.658,0.423,llm_fallback,0.584,True,False,56,registro_operacional_suministrado
a442b565-cabf-4819-b2aa-81f1e42a16ed,86deb79a-93ee-4cfc-a8ca-6d86fca5b239,ce710f9d-ed33-4f5c-a79b-7eea219d41e3,session_86deb79a_01,2026-01-07 13:43:00,2026-01-07 13:44:00,2026-01-07 13:55:00,11.0,12,6,6,67.91666666666667,sueno_regulacion,closure_continuity,sleep_disruption,0.472,0.677,reuse_response_memory,0.892,True,False,1,registro_operacional_suministrado
e8c1c80f-ec48-446a-ba56-6f43bf754832,86deb79a-93ee-4cfc-a8ca-6d86fca5b239,ce710f9d-ed33-4f5c-a79b-7eea219d41e3,session_86deb79a_02,2026-02-15 11:46:00,2026-02-15 11:47:00,2026-02-15 11:56:00,9.0,10,5,5,69.6,sueno_regulacion,focus_clarification,general_distress,0.488,0.296,reuse_response_memory,0.535,False,True,1,registro_operacional_suministrado
d192dabe-82a8-4caf-9f5d-50d7988d6114,86deb79a-93ee-4cfc-a8ca-6d86fca5b239,ce710f9d-ed33-4f5c-a79b-7eea219d41e3,session_86deb79a_03,2026-04-26 18:46:00,2026-04-26 18:47:00,2026-04-26 18:48:00,1.0,2,1,1,95.5,transicion_rigidez,closure_continuity,shutdown,0.808,0.148,system_response,0.749,True,True,1,registro_operacional_suministrado
d99e9a9f-7838-4e19-87e0-a27862224374,86deb79a-93ee-4cfc-a8ca-6d86fca5b239,ce710f9d-ed33-4f5c-a79b-7eea219d41e3,session_86deb79a_04,2026-04-28 18:46:00,2026-04-28 18:47:00,2026-04-28 18:50:00,3.0,4,2,2,67.5,apoyo_general,case_learning,general_distress,0.468,0.421,reuse_response_memory,0.786,False,False,1,registro_operacional_suministrado
1ce3d952-332b-4bd1-84a6-b2160bdec23e,86deb79a-93ee-4cfc-a8ca-6d86fca5b239,ce710f9d-ed33-4f5c-a79b-7eea219d41e3,session_86deb79a_05,2026-05-02 20:46:00,2026-05-02 20:47:00,2026-05-02 20:48:00,1.0,2,1,1,89.0,sobrecarga_sensorial,adaptive_intervention,sensory_overload,0.658,0.736,system_response,0.724,True,False,1,registro_operacional_suministrado
713c7b25-d33c-4961-b0cc-afe900ce6a2f,86deb79a-93ee-4cfc-a8ca-6d86fca5b239,ce710f9d-ed33-4f5c-a79b-7eea219d41e3,session_86deb79a_06,2026-05-06 00:46:00,2026-05-06 00:47:00,2026-05-06 00:56:00,9.0,10,5,5,74.0,sobrecarga_cuidador,case_learning,parental_fatigue,0.606,0.332,llm_fallback,0.933,False,True,1,registro_operacional_suministrado
1f008276-ab37-4378-ac51-b1067760ddae,86deb79a-93ee-4cfc-a8ca-6d86fca5b239,ce710f9d-ed33-4f5c-a79b-7eea219d41e3,session_86deb79a_07,2026-05-09 03:46:00,2026-05-09 03:47:00,2026-05-09 03:50:00,3.0,4,2,2,75.25,disfuncion_ejecutiva,closure_continuity,executive_dysfunction,0.558,0.44,reuse_response_memory,0.501,False,False,1,registro_operacional_suministrado
b3e0c9fb-9bcc-4ddc-9d09-d5910516fddf,86deb79a-93ee-4cfc-a8ca-6d86fca5b239,ce710f9d-ed33-4f5c-a79b-7eea219d41e3,session_86deb79a_08,2026-05-11 03:46:00,2026-05-11 03:47:00,2026-05-11 03:48:00,1.0,2,1,1,75.0,apoyo_general,focus_clarification,emotional_dysregulation,0.824,0.402,llm_fallback,0.799,True,True,1,registro_operacional_suministrado
1f16ba87-594d-4021-9f8d-bda190bbebb2,86deb79a-93ee-4cfc-a8ca-6d86fca5b239,ce710f9d-ed33-4f5c-a79b-7eea219d41e3,session_86deb79a_09,2026-05-15 05:46:00,2026-05-15 05:47:00,2026-05-15 05:48:00,1.0,2,1,1,90.5,apoyo_general,focus_clarification,general_distress,0.28,0.626,llm_fallback,0.862,False,True,1,registro_operacional_suministrado
e69c1268-43df-4c77-bc8c-ffdaf3834c52,86deb79a-93ee-4cfc-a8ca-6d86fca5b239,ce710f9d-ed33-4f5c-a79b-7eea219d41e3,session_86deb79a_10,2026-05-18 05:46:00,2026-05-18 05:47:00,2026-05-18 05:50:00,3.0,4,2,2,73.5,sueno_regulacion,case_learning,general_distress,0.457,0.385,llm_fallback,0.748,True,True,1,registro_operacional_suministrado
95cdf58e-00a0-40e1-8fc5-d89158aef15b,86deb79a-93ee-4cfc-a8ca-6d86fca5b239,ce710f9d-ed33-4f5c-a79b-7eea219d41e3,session_86deb79a_11,2026-05-23 11:46:00,2026-05-23 11:47:00,2026-05-23 12:00:00,13.0,14,7,7,78.07142857142857,transicion_rigidez,focus_clarification,general_distress,0.677,0.274,reuse_response_memory,0.898,False,False,1,registro_operacional_suministrado
4d6b6f68-818c-4fd2-b8e5-e03c21d2d7d0,86deb79a-93ee-4cfc-a8ca-6d86fca5b239,ce710f9d-ed33-4f5c-a79b-7eea219d41e3,session_86deb79a_12,2026-05-24 13:46:00,2026-05-24 13:47:00,2026-05-24 13:50:00,3.0,4,2,2,81.5,sobrecarga_cuidador,case_learning,parental_fatigue,0.609,0.195,reuse_response_memory,0.789,False,False,1,registro_operacional_suministrado
7465b4bc-954b-4f25-bea4-85a489e7f94b,86deb79a-93ee-4cfc-a8ca-6d86fca5b239,ce710f9d-ed33-4f5c-a79b-7eea219d41e3,session_86deb79a_13,2026-05-28 16:46:00,2026-05-28 16:47:00,2026-05-28 16:48:00,1.0,2,1,1,103.5,transicion_rigidez,reception_containment,sensory_overload,0.864,0.374,llm_fallback,0.362,True,False,1,registro_operacional_suministrado
56153672-9776-4975-8ea6-84ed7e740cfa,86deb79a-93ee-4cfc-a8ca-6d86fca5b239,ce710f9d-ed33-4f5c-a79b-7eea219d41e3,session_86deb79a_14,2026-05-29 20:46:00,2026-05-29 20:47:00,2026-05-29 20:48:00,1.0,2,1,1,81.0,sueno_regulacion,adaptive_intervention,sleep_disruption,0.737,0.745,reuse_response_memory,0.559,False,False,1,registro_operacional_suministrado
d9376354-76fb-4997-a95e-1e210d411069,86deb79a-93ee-4cfc-a8ca-6d86fca5b239,ce710f9d-ed33-4f5c-a79b-7eea219d41e3,session_86deb79a_15,2026-05-27 21:00:00,2026-05-27 21:01:00,2026-05-27 21:12:00,11.0,12,6,6,72.58333333333333,apoyo_general,closure_continuity,general_distress,0.577,0.342,llm_fallback,0.803,True,True,473,registro_operacional_suministrado
140bc33d-e458-4dee-8438-cf5673e5c148,86deb79a-93ee-4cfc-a8ca-6d86fca5b239,ce710f9d-ed33-4f5c-a79b-7eea219d41e3,session_86deb79a_16,2026-05-29 23:00:00,2026-05-29 23:01:00,2026-05-29 23:14:00,13.0,14,7,7,69.71428571428571,sobrecarga_sensorial,closure_continuity,shutdown,0.586,0.326,llm_fallback,0.523,False,False,36,registro_operacional_suministrado
fe0df05a-900e-43aa-8f73-57392796afe5,86deb79a-93ee-4cfc-a8ca-6d86fca5b239,ce710f9d-ed33-4f5c-a79b-7eea219d41e3,session_86deb79a_17,2026-05-31 21:00:00,2026-05-31 21:01:00,2026-05-31 21:02:00,1.0,2,1,1,99.0,apoyo_general,reception_containment,emotional_dysregulation,0.716,0.566,reuse_response_memory,0.855,True,True,550,registro_operacional_suministrado
6b7c90bc-c55c-4464-9985-52a1661d187c,86deb79a-93ee-4cfc-a8ca-6d86fca5b239,ce710f9d-ed33-4f5c-a79b-7eea219d41e3,session_86deb79a_18,2026-05-31 21:00:00,2026-05-31 21:01:00,2026-05-31 21:10:00,9.0,10,5,5,79.4,disfuncion_ejecutiva,reception_containment,general_distress,0.441,0.51,llm_fallback,0.505,True,False,550,registro_operacional_suministrado
a8d5e7f2-6c22-4d0d-9e72-c252beab7bc9,86deb79a-93ee-4cfc-a8ca-6d86fca5b239,ce710f9d-ed33-4f5c-a79b-7eea219d41e3,session_86deb79a_19,2026-05-28 21:00:00,2026-05-28 21:01:00,2026-05-28 21:04:00,3.0,4,2,2,76.5,transicion_rigidez,adaptive_intervention,shutdown,0.592,0.213,reuse_response_memory,0.766,True,False,526,registro_operacional_suministrado
8a9de563-21bd-4cc2-8b1f-a5bd37b918c6,86deb79a-93ee-4cfc-a8ca-6d86fca5b239,ce710f9d-ed33-4f5c-a79b-7eea219d41e3,session_86deb79a_20,2026-05-30 03:00:00,2026-05-30 03:01:00,2026-05-30 03:04:00,3.0,4,2,2,81.0,crisis_activa,case_learning,shutdown,0.698,0.293,reuse_response_memory,0.509,False,True,40,registro_operacional_suministrado
